Date,High,Low,Open,Close,Volume,Adj Close
2014-06-30,15177.8701171875,15052.33984375,15159.4501953125,15162.099609375,102000,15162.099609375
2014-07-01,15389.080078125,15145.8701171875,15179.6396484375,15326.2001953125,137500,15326.2001953125
2014-07-02,15444.6298828125,15354.91015625,15406.23046875,15369.9697265625,116800,15369.9697265625
2014-07-03,15435.33984375,15324.3203125,15435.33984375,15348.2900390625,114200,15348.2900390625
2014-07-04,15490.3701171875,15420.0703125,15490.3701171875,15437.1298828125,108800,15437.1298828125
2014-07-07,15477.76953125,15379.4404296875,15433.490234375,15379.4404296875,84000,15379.4404296875
2014-07-08,15389.8896484375,15225.1103515625,15304.26953125,15314.41015625,117700,15314.41015625
2014-07-09,15302.650390625,15185.3203125,15194.3203125,15302.650390625,118300,15302.650390625
2014-07-10,15326.7802734375,15215.4296875,15318.2998046875,15216.4697265625,112900,15216.4697265625
2014-07-11,15204.009765625,15101.490234375,15102.58984375,15164.0400390625,123600,15164.0400390625
2014-07-14,15324.9501953125,15179.490234375,15199.1796875,15296.8203125,96300,15296.8203125
2014-07-15,15441.5400390625,15346.08984375,15354.4296875,15395.16015625,101000,15395.16015625
2014-07-16,15423.9599609375,15355.0,15369.66015625,15379.2998046875,98200,15379.2998046875
2014-07-17,15465.740234375,15347.849609375,15422.8701171875,15370.259765625,102500,15370.259765625
2014-07-18,15220.5,15110.4501953125,15174.080078125,15215.7099609375,92200,15215.7099609375
2014-07-22,15392.01953125,15287.9296875,15296.419921875,15343.2802734375,115400,15343.2802734375
2014-07-23,15376.2001953125,15317.3701171875,15367.16015625,15328.5595703125,100100,15328.5595703125
2014-07-24,15383.1103515625,15232.1396484375,15350.2802734375,15284.419921875,122000,15284.419921875
2014-07-25,15457.8701171875,15341.6904296875,15342.4599609375,15457.8701171875,119900,15457.8701171875
2014-07-28,15556.6201171875,15426.98046875,15426.98046875,15529.400390625,115600,15529.400390625
2014-07-29,15632.7001953125,15556.01953125,15564.7900390625,15618.0703125,98800,15618.0703125
2014-07-30,15666.6201171875,15594.8896484375,15616.8896484375,15646.23046875,117500,15646.23046875
2014-07-31,15759.66015625,15618.849609375,15732.7802734375,15620.76953125,154100,15620.76953125
2014-08-01,15602.1298828125,15501.150390625,15511.5400390625,15523.1103515625,143300,15523.1103515625
2014-08-04,15535.6201171875,15440.2099609375,15474.650390625,15474.5,123600,15474.5
2014-08-05,15507.3203125,15313.83984375,15506.8701171875,15320.3095703125,131500,15320.3095703125
2014-08-06,15271.1396484375,15121.4296875,15260.0,15159.7900390625,135500,15159.7900390625
2014-08-07,15243.0595703125,15061.990234375,15138.7197265625,15232.3701171875,143100,15232.3701171875
2014-08-08,15074.3203125,14753.83984375,15063.73046875,14778.3701171875,177200,14778.3701171875
2014-08-11,15161.5400390625,14973.7099609375,15022.6396484375,15130.51953125,114600,15130.51953125
2014-08-12,15235.98046875,15125.9296875,15164.73046875,15161.3095703125,89300,15161.3095703125
2014-08-13,15235.900390625,15108.5302734375,15111.759765625,15213.6298828125,96300,15213.6298828125
2014-08-14,15338.849609375,15272.900390625,15284.3798828125,15314.5703125,92700,15314.5703125
2014-08-15,15328.33984375,15276.990234375,15317.150390625,15318.33984375,88700,15318.33984375
2014-08-18,15365.349609375,15303.3896484375,15318.5,15322.599609375,77300,15322.599609375
2014-08-19,15476.0498046875,15429.1103515625,15451.9404296875,15449.7900390625,94200,15449.7900390625
2014-08-20,15492.8798828125,15433.7197265625,15485.9296875,15454.4501953125,92700,15454.4501953125
2014-08-21,15601.990234375,15525.7802734375,15530.98046875,15586.2001953125,117700,15586.2001953125
2014-08-22,15628.7802734375,15524.4296875,15618.0498046875,15539.1904296875,102300,15539.1904296875
2014-08-25,15628.6103515625,15553.509765625,15609.4296875,15613.25,81900,15613.25
2014-08-26,15613.33984375,15519.419921875,15609.6396484375,15521.2197265625,86400,15521.2197265625
2014-08-27,15588.2197265625,15465.990234375,15556.5595703125,15534.8203125,102200,15534.8203125
2014-08-28,15487.990234375,15423.900390625,15482.26953125,15459.8603515625,99300,15459.8603515625
2014-08-29,15447.8095703125,15356.0,15423.8798828125,15424.58984375,111000,15424.58984375
2014-09-01,15478.76953125,15440.990234375,15454.58984375,15476.599609375,74800,15476.599609375
2014-09-02,15737.3603515625,15516.5,15526.9404296875,15668.599609375,122600,15668.599609375
2014-09-03,15829.3798828125,15723.5400390625,15797.7900390625,15728.349609375,137800,15728.349609375
2014-09-04,15732.759765625,15663.58984375,15701.6103515625,15676.1796875,110900,15676.1796875
2014-09-05,15792.6396484375,15641.3701171875,15792.6396484375,15668.6796875,109600,15668.6796875
2014-09-08,15730.330078125,15656.400390625,15718.1298828125,15705.1103515625,95600,15705.1103515625
2014-09-09,15795.8203125,15736.1298828125,15795.8203125,15749.150390625,106100,15749.150390625
2014-09-10,15795.599609375,15664.7900390625,15688.5498046875,15788.7802734375,109700,15788.7802734375
2014-09-11,15925.509765625,15854.2998046875,15880.91015625,15909.2001953125,130300,15909.2001953125
2014-09-12,15984.900390625,15885.0400390625,15885.0400390625,15948.2900390625,183400,15948.2900390625
2014-09-16,15938.3095703125,15871.1201171875,15896.0595703125,15911.5302734375,121300,15911.5302734375
2014-09-17,15969.41015625,15888.669921875,15948.150390625,15888.669921875,114700,15888.669921875
2014-09-18,16106.1103515625,16003.4599609375,16036.4697265625,16067.5703125,143100,16067.5703125
2014-09-19,16364.080078125,16170.8603515625,16177.9404296875,16321.169921875,171300,16321.169921875
2014-09-22,16299.1298828125,16170.1103515625,16281.3603515625,16205.900390625,129100,16205.900390625
2014-09-24,16203.9404296875,16094.58984375,16105.5595703125,16167.4501953125,133300,16167.4501953125
2014-09-25,16374.1396484375,16303.91015625,16327.1904296875,16374.1396484375,148700,16374.1396484375
2014-09-26,16251.669921875,16087.9501953125,16087.9501953125,16229.8603515625,127400,16229.8603515625
2014-09-29,16344.3203125,16262.0,16339.0302734375,16310.6396484375,107900,16310.6396484375
2014-09-30,16252.7197265625,16058.7197265625,16252.7197265625,16173.51953125,152500,16173.51953125
2014-10-01,16225.9599609375,16081.009765625,16173.3896484375,16082.25,137100,16082.25
2014-10-02,15922.509765625,15646.400390625,15895.2001953125,15661.990234375,175400,15661.990234375
2014-10-03,15708.650390625,15559.0703125,15616.48046875,15708.650390625,139700,15708.650390625
2014-10-06,15970.650390625,15808.2197265625,15882.2802734375,15890.9501953125,127600,15890.9501953125
2014-10-07,15913.51953125,15755.5703125,15841.169921875,15783.830078125,134800,15783.830078125
2014-10-08,15643.6298828125,15520.8095703125,15574.599609375,15595.98046875,150200,15595.98046875
2014-10-09,15732.3203125,15461.08984375,15681.5302734375,15478.9296875,141000,15478.9296875
2014-10-10,15345.7802734375,15221.830078125,15292.8798828125,15300.5498046875,186100,15300.5498046875
2014-10-14,15089.900390625,14919.7099609375,15036.8701171875,14936.509765625,186200,14936.509765625
2014-10-15,15084.6103515625,14916.650390625,15009.75,15073.51953125,152600,15073.51953125
2014-10-16,14807.080078125,14672.5498046875,14805.16015625,14738.3798828125,198900,14738.3798828125
2014-10-17,14830.669921875,14529.0302734375,14796.3203125,14532.509765625,178600,14532.509765625
2014-10-20,15111.23046875,14819.6904296875,14822.83984375,15111.23046875,162000,15111.23046875
2014-10-21,15115.2900390625,14761.83984375,15115.2900390625,14804.2802734375,143000,14804.2802734375
2014-10-22,15195.7802734375,15001.4296875,15038.1904296875,15195.76953125,137400,15195.76953125
2014-10-23,15232.509765625,15059.6396484375,15093.7802734375,15138.9599609375,119600,15138.9599609375
2014-10-24,15377.0498046875,15232.0,15354.349609375,15291.6396484375,121800,15291.6396484375
2014-10-27,15424.0498046875,15333.7099609375,15404.2802734375,15388.7197265625,121000,15388.7197265625
2014-10-28,15374.4599609375,15263.3603515625,15363.2802734375,15329.91015625,122300,15329.91015625
2014-10-29,15595.2900390625,15394.7900390625,15442.3896484375,15553.91015625,148800,15553.91015625
2014-10-30,15701.0400390625,15584.830078125,15596.5,15658.2001953125,184100,15658.2001953125
2014-10-31,16533.91015625,15817.1396484375,15817.1396484375,16413.759765625,268500,16413.759765625
2014-11-04,17127.66015625,16720.990234375,16732.849609375,16862.470703125,335600,16862.470703125
2014-11-05,16995.01953125,16778.279296875,16785.439453125,16937.3203125,232200,16937.3203125
2014-11-06,17045.939453125,16725.44921875,16993.4609375,16792.48046875,199000,16792.48046875
2014-11-07,16938.19921875,16824.080078125,16934.0390625,16880.380859375,153300,16880.380859375
2014-11-10,16818.05078125,16713.369140625,16758.26953125,16780.529296875,125600,16780.529296875
2014-11-11,17160.119140625,16855.30078125,16869.490234375,17124.109375,154000,17124.109375
2014-11-12,17443.740234375,17170.0,17253.119140625,17197.05078125,193300,17197.05078125
